model,date,actual,predicted
AR(1),2014-01-01,-7028.0,-3826.7424384305796
AR(1),2014-02-01,-2506.0,-5195.871026269905
AR(1),2014-03-01,-3014.0,-3665.869315527149
AR(1),2014-04-01,-3587.0,-3791.692261876686
AR(1),2014-05-01,-3616.0,-3957.3744063289396
AR(1),2014-06-01,-3689.0,-3959.9633618984917
AR(1),2014-07-01,-3798.0,-3977.232534227007
AR(1),2014-08-01,-4441.0,-4007.137198294019
AR(1),2014-09-01,-3553.0,-4207.1359987564465
AR(1),2014-10-01,-2749.0,-3931.6689732279547
AR(1),2014-11-01,-1557.0,-3667.4547220758927
AR(1),2014-12-01,-3128.0,-3219.2758930831706
AR(1),2015-01-01,-3569.0,-3728.6115205766137
AR(1),2015-02-01,-2099.0,-3870.432118303227
AR(1),2015-03-01,-3306.0,-3351.2952736710504
AR(1),2015-04-01,-2011.0,-3754.3615316100213
AR(1),2015-05-01,-3042.0,-3279.7306915349955
AR(1),2015-06-01,-339.0,-3628.3050770565987
AR(1),2015-07-01,-1739.0,-2571.2157196492144
AR(1),2015-08-01,-2713.0,-3034.777463416958
AR(1),2015-09-01,-2748.0,-3403.014361377146
AR(1),2015-10-01,-2966.0,-3403.352857511696
AR(1),2015-11-01,-2944.0,-3481.7527561117754
AR(1),2015-12-01,-1387.0,-3463.8563552140786
AR(1),2016-01-01,-4370.0,-2785.4629550965465
AR(1),2016-02-01,-4576.0,-4024.34923904863
AR(1),2016-03-01,-3954.0,-4112.7781267901455
AR(1),2016-04-01,-2126.0,-3866.5836559269246
AR(1),2016-05-01,-1138.0,-3132.4938952212437
AR(1),2016-06-01,-1670.0,-2673.068245030917
AR(1),2016-07-01,-2639.0,-2849.1937778065994
AR(1),2016-08-01,-4370.0,-3255.41097753573
AR(1),2016-09-01,-3102.0,-4002.0106647550188
AR(1),2016-10-01,-3649.0,-3461.4488897175825
AR(1),2016-11-01,-3387.0,-3691.64770928451
AR(1),2016-12-01,2706.0,-3579.258067720132
AR(1),2017-01-01,-9523.0,-902.1143135686254
AR(1),2017-02-01,-5772.0,-4811.923418741487
AR(1),2017-03-01,-3084.0,-4163.884539789734
AR(1),2017-04-01,-3567.0,-3598.2213388391237
AR(1),2017-05-01,-3104.0,-3694.539462357332
AR(1),2017-06-01,-2233.0,-3595.728342248207
AR(1),2017-07-01,-4892.0,-3402.8511299041065
AR(1),2017-08-01,-4666.0,-3949.422342396262
AR(1),2017-09-01,-3363.0,-3915.123250411023
AR(1),2017-10-01,-3914.0,-3651.6975986152997
AR(1),2017-11-01,-3381.0,-3762.5257604108842
AR(1),2017-12-01,1366.0,-3654.3494572982872
AR(1),2018-01-01,-6606.0,-2644.110934826678
AR(1),2018-02-01,-7409.0,-4098.067895506558
AR(1),2018-03-01,-4166.0,-4353.422012194024
AR(1),2018-04-01,-4358.0,-3810.2956985773353
AR(1),2018-05-01,-6508.0,-3847.2637247650246
AR(1),2018-06-01,-3110.0,-4240.294458129164
AR(1),2018-07-01,-1288.0,-3657.814775122908
AR(1),2018-08-01,-6512.0,-3332.162493615209
AR(1),2018-09-01,-4469.0,-4160.264520221856
AR(1),2018-10-01,-3852.0,-3874.0949172817086
AR(1),2018-11-01,-2966.0,-3784.619377771083
AR(1),2018-12-01,277.0,-3649.661250063999
AR(1),2019-01-01,-5830.0,-3110.931585740401
AR(1),2019-02-01,-5727.0,-4008.38883484242
AR(1),2019-03-01,-5232.0,-4029.3056166584684
AR(1),2019-04-01,-4477.0,-3982.66396083867
