model,date,actual,predicted
AR(1),2010-01-01,-4495.0,1083.9684126781362
AR(1),2010-04-01,-8751.0,722.0437470998725
AR(1),2010-07-01,4057.0,-609.1734669780916
AR(1),2010-10-01,-3358.0,1569.9459768666748
AR(1),2011-01-01,-13947.0,589.0584323465947
AR(1),2011-04-01,-4627.0,-1880.2504218817476
AR(1),2011-07-01,1937.0,-485.04335834344533
AR(1),2011-10-01,-1053.0,917.9954412264258
AR(1),2012-01-01,-9691.0,288.57025072157967
AR(1),2012-04-01,-6381.0,-1747.3749656047194
AR(1),2012-07-01,-1145.0,-1382.1262114331955
AR(1),2012-10-01,-2934.0,-103.34254529329013
AR(1),2013-01-01,-8262.0,-600.6387808522445
AR(1),2013-04-01,-2100.0,-2193.9218070033403
AR(1),2013-07-01,-1465.0,-579.7622070507955
AR(1),2013-10-01,1030.0,-432.26783192030257
AR(1),2014-01-01,-11969.0,247.0551130074176
AR(1),2014-04-01,-12798.0,-3262.302322767979
AR(1),2014-07-01,1179.0,-4491.554715412918
AR(1),2014-10-01,3035.0,20.277009942589302
AR(1),2015-01-01,-9107.0,602.8659961113744
AR(1),2015-04-01,1121.0,-2851.8094801237585
AR(1),2015-07-01,15.0,-92.74366965186414
AR(1),2015-10-01,-119.0,-365.47215113156966
AR(1),2016-01-01,-16197.0,-394.81074444209787
AR(1),2016-04-01,-473.0,-4592.229783725828
AR(1),2016-07-01,-2171.0,-672.5190012162487
AR(1),2016-10-01,7973.0,-1061.653012175655
AR(1),2017-01-01,-22167.0,1208.67679398588
AR(1),2017-04-01,-3650.0,-3514.5960118087064
AR(1),2017-07-01,4081.0,-1300.6060795782314
AR(1),2017-10-01,4123.0,-316.2584038659217
AR(1),2018-01-01,-18230.0,-208.6756180901686
AR(1),2018-04-01,-7512.0,-2657.2642419363756
AR(1),2018-07-01,708.0,-1923.7530080186073
AR(1),2018-10-01,5389.0,-922.4424910453051
AR(1),2019-01-01,-6350.0,-284.3548488808202
AR(1),2019-04-01,2234.0,-1670.439574998502
AR(1),2019-07-01,2508.0,-744.135635205914
AR(1),2019-10-01,14102.0,-663.7056788938335
AR(1),2020-01-01,-15574.0,943.3505575318864
AR(1),2020-04-01,-16240.0,-1684.5861818748092
AR(1),2020-07-01,-11268.0,-2789.5736452058336
AR(1),2020-10-01,1584.0,-2711.283726858442
AR(1),2021-01-01,-7378.0,-928.0891397017191
AR(1),2021-04-01,1422.0,-2108.448253419922
AR(1),2021-07-01,1792.0,-1010.8944971615574
AR(1),2021-10-01,13125.0,-929.3836141783224
AR(1),2022-01-01,-12636.0,725.8907382614921
AR(1),2022-04-01,-13668.0,-2227.2034941632755
AR(1),2022-07-01,-20368.0,-2815.689915428763
AR(4),2010-01-01,-4495.0,837.8664351213627
AR(4),2010-04-01,-8751.0,-10093.640560191192
AR(4),2010-07-01,4057.0,3742.1193799462753
AR(4),2010-10-01,-3358.0,-5527.988991387418
AR(4),2011-01-01,-13947.0,-2827.853909709466
AR(4),2011-04-01,-4627.0,-9243.2736550044
AR(4),2011-07-01,1937.0,1642.414026181458
AR(4),2011-10-01,-1053.0,-5346.8835732069565
AR(4),2012-01-01,-9691.0,-12325.86430129255
AR(4),2012-04-01,-6381.0,-4337.007322187211
AR(4),2012-07-01,-1145.0,133.5580133399867
AR(4),2012-10-01,-2934.0,-2151.0326124116445
AR(4),2013-01-01,-8262.0,-8648.30387854497
AR(4),2013-04-01,-2100.0,-6191.893735890924
AR(4),2013-07-01,-1465.0,-2203.808799374655
AR(4),2013-10-01,1030.0,-3246.0039113815437
AR(4),2014-01-01,-11969.0,-6891.744433940018
AR(4),2014-04-01,-12798.0,-2268.6247160423873
AR(4),2014-07-01,1179.0,-3623.340353679713
AR(4),2014-10-01,3035.0,31.229589063018807
AR(4),2015-01-01,-9107.0,-10278.772284787294
AR(4),2015-04-01,1121.0,-11961.925459087503
AR(4),2015-07-01,15.0,75.30339825065198
AR(4),2015-10-01,-119.0,1618.2832057819228
AR(4),2016-01-01,-16197.0,-6935.9555663958545
AR(4),2016-04-01,-473.0,122.43195696012936
AR(4),2016-07-01,-2171.0,-1161.1360826203097
AR(4),2016-10-01,7973.0,-1002.969139782945
AR(4),2017-01-01,-22167.0,-13040.172063642007
AR(4),2017-04-01,-3650.0,44.1891397940077
AR(4),2017-07-01,4081.0,-3799.3347878067216
AR(4),2017-10-01,4123.0,6920.662764556447
AR(4),2018-01-01,-18230.0,-19560.087836912568
AR(4),2018-04-01,-7512.0,-3646.201343712113
