model,rmse,mae,direction_accuracy
AR(1),8912.633428927811,6964.950133623916,48.0
AR(4),7511.515478224177,5832.830067873913,72.0
Ridge,6566.765893925765,4990.478278358483,78.0
LASSO,7114.264419991501,5309.695986739467,76.0
DFM,7229.460554339716,5554.464856105346,80.0
Bridge,7685.26381978944,5418.703651280005,76.0
GradientBoosting,7343.56418275021,5694.352900850187,72.0
XGBoost,7475.849368712595,5830.402810639026,72.0
LSTM,9003.55016576901,6813.5409875253545,44.0
GRU,8999.739632432555,6811.311514666852,42.0
Combination,6553.304858111346,5045.495792850598,74.0
